"","Cln3","SMBF","Cln2","Clb5","Yhp1","Clb2","SFF","Cdc20","FEAR","MEN","Cdc14","Swi5","CKI","Cdh1","S","B","M","CD"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0
"7",0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"8",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"13",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"14",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"16",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"17",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
