"","CYCD31","SCF","RBR","E2Fa","E2Fb","E2Fc","E2Fe","MYB77","MYB3R14","CYCB11","CDKB11","CYCA23","KRP1","APCC"
"1",0,1,1,0,0,1,1,1,0,1,1,0,0,0
"2",1,0,0,0,0,1,0,0,0,0,0,0,1,0
"3",0,1,1,0,1,1,1,1,0,1,1,0,0,1
"4",0,0,1,1,1,1,0,0,0,0,0,0,0,1
"5",0,1,0,0,0,0,1,1,0,1,1,0,0,0
"6",0,0,0,1,0,0,1,0,0,1,1,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8",0,0,0,0,0,0,1,0,1,1,1,1,1,1
"9",0,1,1,0,0,1,0,0,1,1,1,1,1,1
"10",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"11",0,0,0,1,0,0,0,0,0,0,0,0,1,0
"12",0,0,0,1,0,0,0,0,0,0,0,0,1,0
"13",0,1,1,0,0,1,1,1,1,1,1,0,0,0
"14",0,1,0,0,0,0,0,0,0,1,0,1,0,0
