"","UGR","CBX2","GATA4","WT1mKTS","WT1pKTS","NR5A1","NR0B1","SRY","SOX9","FGF9","PGD2","DMRT1","DKK1","AMH","WNT4","RSPO1","FOXL2","CTNNB1"
"1",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"3",0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0
"4",0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
"5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6",1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
"7",0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"8",0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
"9",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
"10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"11",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"17",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"18",0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0
