"","CTLA4","TCR","IFNG","P2","GPCR","SMAD","Fas","sFas","Ceramide","DISC","Caspase","FLIP","BID","IAP","MCL1","S1P","Apoptosis"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"10",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"16",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
