"","GSK3b","Rho","Rac","MEKK1","JNK","PKC","IRS","PI3K","Akt","TSC2","mTORC1","S6K","Raf","ERK","mTORC2"
"1",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"2",0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"3",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"9",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"11",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"12",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"14",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"15",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
