"","ROS","Ras","PTEN","ATM","Bach1","PKC","PIP3","PI3K","PIP2","Akt","GSK3b","p53","Mdm2","Keap1","ARE","Nrf2"
"1",0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
