"","SMBF","Sic1","Clb5","Yhp1","FEAR","Cln2","Whi5","Cln3","Cdc20","MEN","SFF","Clb2","Swi5","Cdh1","Cdc14"
"1",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"2",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"3",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"6",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"11",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"12",1,1,0,0,0,0,0,0,1,1,1,0,1,1,0
"13",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"15",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
