"","p73","miR203","p53","CTNNB1","SNAI2","TWIST1","SNAI1","miR34","p63","TGFbeta","miR200","NICD","AKT2","ZEB2","GF","CDH1","DKK1","ZEB1","CDH2","AKT1"
"1",0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"2",0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"3",1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1
"4",0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
"5",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
"6",0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0
"7",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
"8",0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"9",0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"11",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"12",0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1
"13",1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
"14",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"16",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"17",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"19",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"20",1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
