"","CentrosomeMat","SpindleAssembly","Cytokinesis","AURKAActive","AURKAPresent","CDK1CCNBComplex","CDC25B","BORA","GWL_MASTL","hCPEB","MT","NEDD9","ENSA","PLK1","PP1","PP2A","STMN","TPX2","WEE1"
"1",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"4",0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0
"5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"14",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"16",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"18",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
