"","CK","ARR1","SHY2","AUXIAA","ARF","ARF10","ARF5","AUX","SCR","SHR","MIR166","PHB","JKD","WOX5","CLE40"
"1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"4",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,1,1,1,0,1,1,0
"10",1,0,0,0,0,1,1,0,1,1,1,0,1,1,1
"11",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"12",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"13",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"14",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
