n;Network;Hub;Non.Hub;;PM;NM;NS;
1;Azpeitia2013_initialRSCN_GRN;SYS;SHR; ;SHR;JKD;MGP;
 ; ; ;SCR; ;SCR;IAA5;WOX5;
 ; ; ;JKD; ;miRNA165;SYS;CLE;
 ; ; ;MGP; ;PHB;CYA;ACR;
 ; ; ;miRNA165; ;Auxin; ;PYI5;
 ; ; ;PHB; ; ; ; ;
 ; ; ;Auxin; ; ; ; ;
 ; ; ;IAA5; ; ; ; ;
 ; ; ;WOX5; ; ; ; ;
 ; ; ;CLE; ; ; ; ;
 ; ; ;ACR; ; ; ; ;
 ; ; ;CYA; ; ; ; ;
 ; ; ;PYI5; ; ; ; ;
 ; ; ; ; ; ; ; ;
2;Brandon2015;LIP;hapX; ;hapX;MirB;TAFC;
 ; ; ;sreA; ;sreA;LIP;ICP;
 ; ; ;HapX; ;HapX;FCposFe;SOD3;
 ; ; ;SreA; ;SreA;VAC;Cat12;
 ; ; ;RIA; ;RIA; ;ThP;
 ; ; ;EstB; ;EstB; ;Iron;
 ; ; ;MirB; ;SidA; ;Superoxide;
 ; ; ;SidA; ;CccA; ; ;
 ; ; ;TAFC; ;FCnegFe; ; ;
 ; ; ;ICP; ;ROS; ; ;
 ; ; ;CccA; ;Yap1; ; ;
 ; ; ;FCnegFe; ; ; ; ;
 ; ; ;FCposFe; ; ; ; ;
 ; ; ;VAC; ; ; ; ;
 ; ; ;ROS; ; ; ; ;
 ; ; ;Yap1; ; ; ; ;
 ; ; ;SOD3; ; ; ; ;
 ; ; ;Cat12; ; ; ; ;
 ; ; ;ThP; ; ; ; ;
 ; ; ;Iron; ; ; ; ;
 ; ; ;Superoxide; ; ; ; ;
 ; ; ; ; ; ; ; ;
3;Calzone2010;NFkB;TNF; ;SMAC;apoptosome;TNF;
 ; ; ;FADD; ;ATP;cIAP;FADD;
 ; ; ;FASL; ;CASP3;RIP1;FASL;
 ; ; ;apoptosome; ;MPT;BCL2;RIP1k;
 ; ; ;RIP1k; ;cFLIP;XIAP;NonACD;
 ; ; ;cIAP; ;IKK;ROS;DISCTNF;
 ; ; ;RIP1; ;RIP1ub;TNFR;apoptosis;
 ; ; ;SMAC; ;MOMP;CASP8;DISCFAS;
 ; ; ;NonACD; ; ;NFkB;Cytc;
 ; ; ;DISCTNF; ; ;BAX;survival;
 ; ; ;BCL2; ; ; ; ;
 ; ; ;apoptosis; ; ; ; ;
 ; ; ;XIAP; ; ; ; ;
 ; ; ;ATP; ; ; ; ;
 ; ; ;CASP3; ; ; ; ;
 ; ; ;ROS; ; ; ; ;
 ; ; ;DISCFAS; ; ; ; ;
 ; ; ;TNFR; ; ; ; ;
 ; ; ;Cytc; ; ; ; ;
 ; ; ;MPT; ; ; ; ;
 ; ; ;cFLIP; ; ; ; ;
 ; ; ;survival; ; ; ; ;
 ; ; ;CASP8; ; ; ; ;
 ; ; ;IKK; ; ; ; ;
 ; ; ;RIP1ub; ; ; ; ;
 ; ; ;MOMP; ; ; ; ;
 ; ; ;BAX; ; ; ; ;
 ; ; ; ; ; ; ; ;
4;Cohen2015; ;DNAdamage; ;miR203;p73;DNAdamage;
 ; ; ;ECM; ;ERK;p53;ECM;
 ; ; ;p73; ;CTNNB1;SNAI2;p21;
 ; ; ;miR203; ;TWIST1;SNAI1;Apoptosis;
 ; ; ;p21; ;TGFbeta;miR34;EMT;
 ; ; ;ERK; ;miR200;p63;GF;
 ; ; ;Apoptosis; ;ZEB2;NICD;Invasion;
 ; ; ;p53; ;Migration;AKT2;CellCycleArrest;
 ; ; ;EMT; ;CDH1;ZEB1;DKK1;
