"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"1","Azpeitia2013_initialRSCN_GRN"," ","SHR"," ","SHR","JKD","MGP"
"2"," "," ","SCR"," ","SCR","IAA5","WOX5"
"3"," "," ","JKD"," ","miRNA165","SYS","CLE"
"4"," "," ","MGP"," ","PHB","CYA","ACR"
"5"," "," ","miRNA165"," ","Auxin"," ","PYI5"
"6"," "," ","PHB"," "," "," "," "
"7"," "," ","Auxin"," "," "," "," "
"8"," "," ","IAA5"," "," "," "," "
"9"," "," ","WOX5"," "," "," "," "
"10"," "," ","CLE"," "," "," "," "
"11"," "," ","ACR"," "," "," "," "
"12"," "," ","SYS"," "," "," "," "
"13"," "," ","CYA"," "," "," "," "
"14"," "," ","PYI5"," "," "," "," "
"15"," "," "," "," "," "," "," "
"16","Brandon2015","LIP","hapX"," ","hapX","LIP","MirB"
"17"," "," ","sreA"," ","sreA","FCposFe","TAFC"
"18"," "," ","HapX"," ","HapX","VAC","ICP"
"19"," "," ","SreA"," ","SreA","ROS","CccA"
"20"," "," ","RIA"," ","RIA"," ","SOD3"
"21"," "," ","EstB"," ","EstB"," ","Cat12"
"22"," "," ","MirB"," ","SidA"," ","ThP"
"23"," "," ","SidA"," ","FCnegFe"," ","Iron"
"24"," "," ","TAFC"," ","Yap1"," ","Superoxide"
"25"," "," ","ICP"," "," "," "," "
"26"," "," ","CccA"," "," "," "," "
"27"," "," ","FCnegFe"," "," "," "," "
"28"," "," ","FCposFe"," "," "," "," "
"29"," "," ","VAC"," "," "," "," "
"30"," "," ","ROS"," "," "," "," "
"31"," "," ","Yap1"," "," "," "," "
"32"," "," ","SOD3"," "," "," "," "
"33"," "," ","Cat12"," "," "," "," "
"34"," "," ","ThP"," "," "," "," "
"35"," "," ","Iron"," "," "," "," "
"36"," "," ","Superoxide"," "," "," "," "
"37"," "," "," "," "," "," "," "
"38","Calzone2010","NFkB","TNF"," ","SMAC","apoptosome","TNF"
"39"," "," ","FADD"," ","ATP","cIAP","FADD"
"40"," "," ","FASL"," ","CASP3","RIP1","FASL"
"41"," "," ","apoptosome"," ","MPT","BCL2","RIP1k"
"42"," "," ","RIP1k"," ","cFLIP","XIAP","NonACD"
"43"," "," ","cIAP"," ","IKK","ROS","DISCTNF"
"44"," "," ","RIP1"," ","RIP1ub","TNFR","apoptosis"
"45"," "," ","SMAC"," ","MOMP","CASP8","DISCFAS"
"46"," "," ","NonACD"," "," ","NFkB","Cytc"
"47"," "," ","DISCTNF"," "," ","BAX","survival"
"48"," "," ","BCL2"," "," "," "," "
"49"," "," ","apoptosis"," "," "," "," "
"50"," "," ","XIAP"," "," "," "," "
"51"," "," ","ATP"," "," "," "," "
"52"," "," ","CASP3"," "," "," "," "
"53"," "," ","ROS"," "," "," "," "
"54"," "," ","DISCFAS"," "," "," "," "
"55"," "," ","TNFR"," "," "," "," "
"56"," "," ","Cytc"," "," "," "," "
"57"," "," ","MPT"," "," "," "," "
"58"," "," ","cFLIP"," "," "," "," "
"59"," "," ","survival"," "," "," "," "
"60"," "," ","CASP8"," "," "," "," "
"61"," "," ","IKK"," "," "," "," "
"62"," "," ","RIP1ub"," "," "," "," "
"63"," "," ","MOMP"," "," "," "," "
"64"," "," ","BAX"," "," "," "," "
"65"," "," "," "," "," "," "," "
"66","Cohen2015"," ","DNAdamage"," ","miR203","p73","DNAdamage"
"67"," "," ","ECM"," ","ERK","p53","ECM"
"68"," "," ","p73"," ","CTNNB1","SNAI2","p21"
"69"," "," ","miR203"," ","TWIST1","SNAI1","Apoptosis"
"70"," "," ","p21"," ","TGFbeta","miR34","EMT"
"71"," "," ","ERK"," ","miR200","p63","GF"
