"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"1","Azpeitia2013_initialRSCN_GRN","JKD","SHR"," ","SHR","JKD","MGP"
"2"," ","SYS","SCR"," ","SCR","IAA5","WOX5"
"3"," "," ","MGP"," ","miRNA165","SYS","CLE"
"4"," "," ","miRNA165"," ","PHB","CYA","ACR"
"5"," "," ","PHB"," ","Auxin"," ","PYI5"
"6"," "," ","Auxin"," "," "," "," "
"7"," "," ","IAA5"," "," "," "," "
"8"," "," ","WOX5"," "," "," "," "
"9"," "," ","CLE"," "," "," "," "
"10"," "," ","ACR"," "," "," "," "
"11"," "," ","CYA"," "," "," "," "
"12"," "," ","PYI5"," "," "," "," "
"13"," "," "," "," "," "," "," "
"14","Brandon2015","HapX","hapX"," ","hapX","LIP","MirB"
"15"," ","SreA","sreA"," ","sreA","FCposFe","TAFC"
"16"," ","LIP","RIA"," ","HapX","VAC","ICP"
"17"," ","ROS","EstB"," ","SreA","ROS","CccA"
"18"," "," ","MirB"," ","RIA"," ","SOD3"
"19"," "," ","SidA"," ","EstB"," ","Cat12"
"20"," "," ","TAFC"," ","SidA"," ","ThP"
"21"," "," ","ICP"," ","FCnegFe"," ","Iron"
"22"," "," ","CccA"," ","Yap1"," ","Superoxide"
"23"," "," ","FCnegFe"," "," "," "," "
"24"," "," ","FCposFe"," "," "," "," "
"25"," "," ","VAC"," "," "," "," "
"26"," "," ","Yap1"," "," "," "," "
"27"," "," ","SOD3"," "," "," "," "
"28"," "," ","Cat12"," "," "," "," "
"29"," "," ","ThP"," "," "," "," "
"30"," "," ","Iron"," "," "," "," "
"31"," "," ","Superoxide"," "," "," "," "
"32"," "," "," "," "," "," "," "
"33","Calzone2010","NFkB","TNF"," ","SMAC","apoptosome","TNF"
"34"," "," ","FADD"," ","ATP","cIAP","FADD"
"35"," "," ","FASL"," ","CASP3","RIP1","FASL"
"36"," "," ","apoptosome"," ","MPT","BCL2","RIP1k"
"37"," "," ","RIP1k"," ","cFLIP","XIAP","NonACD"
"38"," "," ","cIAP"," ","IKK","ROS","DISCTNF"
"39"," "," ","RIP1"," ","RIP1ub","TNFR","apoptosis"
"40"," "," ","SMAC"," ","MOMP","CASP8","DISCFAS"
"41"," "," ","NonACD"," "," ","NFkB","Cytc"
"42"," "," ","DISCTNF"," "," ","BAX","survival"
"43"," "," ","BCL2"," "," "," "," "
"44"," "," ","apoptosis"," "," "," "," "
"45"," "," ","XIAP"," "," "," "," "
"46"," "," ","ATP"," "," "," "," "
"47"," "," ","CASP3"," "," "," "," "
"48"," "," ","ROS"," "," "," "," "
"49"," "," ","DISCFAS"," "," "," "," "
"50"," "," ","TNFR"," "," "," "," "
"51"," "," ","Cytc"," "," "," "," "
"52"," "," ","MPT"," "," "," "," "
"53"," "," ","cFLIP"," "," "," "," "
"54"," "," ","survival"," "," "," "," "
"55"," "," ","CASP8"," "," "," "," "
"56"," "," ","IKK"," "," "," "," "
"57"," "," ","RIP1ub"," "," "," "," "
"58"," "," ","MOMP"," "," "," "," "
"59"," "," ","BAX"," "," "," "," "
"60"," "," "," "," "," "," "," "
"61","Cohen2015","p73","DNAdamage"," ","miR203","p73","DNAdamage"
"62"," ","miR203","ECM"," ","ERK","p53","ECM"
"63"," ","p21","EMT"," ","CTNNB1","SNAI2","p21"
"64"," ","ERK","Invasion"," ","TWIST1","SNAI1","Apoptosis"
"65"," ","Apoptosis","DKK1"," ","TGFbeta","miR34","EMT"
"66"," ","p53","Metastasis"," ","miR200","p63","GF"
"67"," ","CTNNB1","VIM"," ","ZEB2","NICD","Invasion"
"68"," ","SNAI2"," "," ","Migration","AKT2","CellCycleArrest"
"69"," ","TWIST1"," "," ","CDH1","ZEB1","DKK1"
"70"," ","SNAI1"," "," ","CDH2","SMAD","Metastasis"
"71"," ","miR34"," "," ","AKT1"," ","VIM"
"72"," ","p63"," "," "," "," "," "
"73"," ","TGFbeta"," "," "," "," "," "
